Year,Country,Inbound-Total Arrival(overnight stay)( In thousands),Inbound- Region(America)( In thousands),Inbound- Region(East Asia and the Pacific)( In thousands),Inbound- Region(Europe)( In thousands),Inbound Accommodation( In thousands),Inbound- Expenditure(Travel)(US$ Millions),Domestic- Accommodation( In thousands),Outbound- departure(overnight stay)( In thousands),Outbound Expenditure(Travel)(US$ Millions),Tourism Industry(Number of establishments),Tourism Industry(Number of rooms),Tourism Industry(Number of bed-places)
2019,Belgium,9343,742,504,7677,50017,8829,43102,17321,18667,4077,79469,201153
2019,Bulgaria,7775,157,122,12143,42538,4287,25202,7007,1825,2166,127052,288027
2019,Croatia,17353,1026,1599,14686,131387,11750,13240,2255,1764,1089,82038,171005
2019,Denmark,14761,1498,886,11816,85765,8651,102308,9088,10037,570,50824,102742
2019,Estonia,3336,67,114,2022,12392,1736,7044,1702,1545,450,17017,35909
2019,Finland,3290,196,578,2287,19191,3725,45846,9410,5678,794,60444,133515
2019,France,90914,8269,5283,72767,300513,63424,650773,30407,50507,17733,657821,1315642
2019,Germany,39563,4142,3963,29489,240178,41779,918274,99533,93097,31615,993298,1959076
2019,Greece,31348,1818,1196,28207,257109,20276,56958,7848,3070,9971,433689,856347
2019,Hungary,16937,1074,1238,59041,40791,7283,40503,9373,2741,2324,75013,184090
2019,Iceland,2013,534,216,1024,20258,2689,2748,611,1509,444,15916,34177
2019,Italy,64513,7755,2209,84398,473611,49521,473247,34703,30307,32730,1092758,2260490
2019,Lithuania,2875,,,2537,10560,1492,10595,2347,1388,494,18140,39689
2019,Luxembourg,1041,47,63,927,5826,5785,743,2548,3631,228,7497,15432
2019,Netherlands,20129,2181,1710,16052,117521,18575,136808,22045,20473,3806,138546,303713
2019,Norway,5879,619,666,4462,27754,5900,66742,8890,16114,1103,94780,209151
2019,Poland,21158,891,567,86923,47827,14003,162135,13500,9278,4229,176925,368944
2019,Portugal,17283,3146,1082,12669,123428,20444,63478,3100,5729,6833,193164,443157
2019,Spain,83509,7092,2977,71378,646188,79571,410344,19845,27726,19381,929510,1951230
2019,Sweden,7616,613,468,5689,39975,9173,122910,18000,14349,2143,129033,260436
2019,Turkey,51192,1029,1470,33517,340944,29829,232810,9651,4110,11898,687870,1482179
2019,Ukraine,13438,56,20,3007,5704,1620,35633,28880,8517,3165,83147,171721
2020,Austria,15091,171,234,14458,127330,13706,68014,3964,6646,11612,290468,608836
2020,Belgium,2584,114,64,2299,14415,6402,25204,7108,12965,3925,78555,197194
2020,Bulgaria,1290,36,20,4860,11502,1636,18565,3325,1048,1960,107098,233549
2020,Croatia,5545,78,85,5375,47553,5488,9165,493,775,994,73227,153263
2020,Denmark,6264,327,140,5316,40664,3970,108497,4230,5636,607,53261,108064
2020,Estonia,1023,8,9,630,3856,588,6163,558,593,420,16375,34604
2020,Finland,896,51,127,650,5815,1245,32393,2330,1646,791,61005,135489
2020,France,41684,1654,1057,38055,99968,32646,490640,11937,27758,17416,652197,1306292
2020,Germany,12449,797,579,10595,80645,22068,566612,,38752,30315,945973,1877701
2020,Greece,7374,170,197,6993,58119,5015,29047,2324,898,10052,438294,869250
2020,Hungary,7417,253,273,31103,9462,3229,25138,3908,1159,2029,63703,158655
2020,Iceland,486,60,41,338,4852,654,3585,130,532,418,15152,32467
2020,Italy,25190,1031,389,36674,130594,19895,295848,11960,10871,32202,1075484,2229264
2020,Lithuania,937,16,2,840,2871,574,7818,682,538,486,17844,38860
2020,Luxembourg,525,14,19,489,2801,4799,708,1460,2764,221,7643,15686
2020,Netherlands,7265,384,286,6547,44040,9658,113583,7667,7359,3816,142322,312453
2020,Norway,1397,121,73,1185,7635,1830,50992,1690,3570,1105,96644,211111
2020,Poland,8418,205,129,50695,15815,8239,94865,6200,5305,3990,169310,354551
2020,Portugal,4208,517,177,3419,30958,8838,40209,680,3140,5183,151751,344757
2020,Spain,18933,1321,562,16676,126253,18379,190850,4940,8619,19544,934373,1960175
2020,Sweden,1957,191,57,1375,11698,4347,86236,4225,6141,2150,130907,265127
2020,Turkey,15894,258,250,10020,105300,10220,163999,2243,1040,12570,716778,1538811
2020,Ukraine,3141,128,19,3642,1504,356,18772,11018,4691,2902,78955,162088
2021,Austria,12728,173,44,12229,99481,9841,64223,7522,972,11353,287528,601641
2021,Belgium,3243,114,31,2933,17748,6289,39654,8593,14624,3652,77031,198182
2021,Bulgaria,2300,68,20,7003,19550,2478,24695,4094,1287,1960,114286,255058
2021,Croatia,10641,331,80,10216,89365,10770,13400,639,1102,1036,78677,165102
2021,Denmark,7588,549,95,6447,47799,4507,134132,3182,7468,606,55001,112797
2021,Estonia,808,15,8,516,3402,638,7406,575,680,421,16392,34493
2021,Finland,807,53,36,662,5301,1080,41684,1810,1377,781,62377,138638
2021,France,48395,1920,1230,44185,126518,40582,618052,13681,34648,17056,652953,1306585
2021,Germany,11688,874,314,10048,77870,22113,578814,,47815,29533,953152,1901110
2021,Greece,14705,468,350,13863,128989,12351,35855,2026,1306,10098,441536,879255
2021,Hungary,7929,289,341,36047,12716,4154,27773,4358,1445,1968,64789,160974
2021,Iceland,698,234,12,417,8391,1303,4922,219,756,408,15232,33320
2021,Italy,26888,1100,156,38498,206672,24968,385432,12354,14879,32109,1073592,2232676
2021,Lithuania,948,25,1,857,3063,585,9216,830,575,630,20403,46305
